Sample ID	Call Rate	Gender	Sample Name
203546040086_R04C01	0.9957463	Female	B1-244
203546040086_R04C02	0.9958734	Female	B1-256
203546040086_R05C01	0.9958119	Female	B1-245
203546040086_R05C02	0.9958539	Female	B1-257
203546040086_R06C02	0.9961347	Female	B1-258
203546040086_R07C01	0.9954835	Female	B1-247
203546040086_R07C02	0.996206	Female	B1-259
203546040086_R08C01	0.995865	Female	B1-248
203546040086_R10C01	0.9956442	Female	B1-250
203546040086_R10C02	0.9960202	Female	B1-262
203546040086_R11C01	0.9952041	Female	B1-251
203546040086_R11C02	0.9958245	Female	B1-263
203546040086_R12C02	0.9952222	Female	B1-264
203524070036_R08C02	0.9965582	Female	B1-476
203524070036_R09C02	0.996104	Female	B2-984
203524070036_R10C02	0.9960453	Female	B2-817
203561520114_R01C01	0.9950196	Female	B1-337
203561520114_R02C02	0.9956009	Female	B1-350
203561520114_R03C01	0.9947303	Female	B1-339
203561520114_R03C02	0.9958231	Female	B1-351
203561520114_R04C01	0.9932812	Female	B1-340
203561520114_R04C02	0.9958371	Female	B1-352
203561520114_R05C02	0.9960034	Female	B1-353
203561520114_R06C01	0.9946255	Female	B1-342
203561520114_R06C02	0.9951426	Female	B1-354
203561520114_R07C01	0.994244	Female	B1-343
203561520114_R07C02	0.9949232	Female	B1-355
203561520114_R08C01	0.9943027	Female	B1-344
203561520114_R08C02	0.9950503	Female	B1-356
203561520114_R09C01	0.9942468	Female	B1-345
203561520114_R09C02	0.9950154	Female	B1-357
203561520114_R10C01	0.9939087	Female	B1-346
203561520114_R11C01	0.9944257	Female	B1-347
203561520114_R11C02	0.9948226	Female	B1-359
203561520114_R12C01	0.9900783	Female	B1-348
203524070022_R01C01	0.9958385	Female	B1-289
203524070022_R01C02	0.9960565	Female	B1-301
203524070022_R02C01	0.9954067	Female	B1-290
203524070022_R02C02	0.9959014	Female	B1-302
203524070022_R03C01	0.9957197	Female	B1-291
203524070022_R03C02	0.9958357	Female	B1-303
203524070022_R04C01	0.9956317	Female	B1-292
203524070022_R04C02	0.9957658	Female	B1-304
203524070022_R05C01	0.9958133	Female	B1-293
203524070022_R05C02	0.9955702	Female	B1-305
203524070022_R06C01	0.9955255	Female	B1-294
203524070022_R06C02	0.9955967	Female	B1-306
203524070022_R07C01	0.995429	Female	B1-295
203524070022_R07C02	0.9952194	Female	B1-307
203524070022_R08C01	0.9954905	Female	B1-296
203524070022_R08C02	0.9949763	Female	B1-308
203524070022_R10C01	0.9950699	Female	B1-298
203524070022_R11C02	0.9939338	Female	B1-311
203524070022_R12C01	0.9926091	Female	B1-300
203524070022_R12C02	0.9926566	Female	B1-312
203524070009_R01C01	0.9959503	Female	B1-73
203524070009_R02C01	0.9960733	Female	B1-74
203524070009_R03C01	0.9959	Female	B1-75
203524070009_R03C02	0.9964701	Female	B1-87
203524070009_R04C02	0.9963178	Female	B1-88
203524070009_R05C01	0.9961571	Female	B1-77
203524070009_R06C01	0.9958888	Female	B1-78
203524070009_R06C02	0.9960285	Female	B1-90
203524070009_R07C01	0.995689	Female	B1-79
203524070009_R07C02	0.9957057	Female	B1-91
203524070009_R08C01	0.9956317	Female	B1-80
203524070009_R10C01	0.9950266	Female	B1-82
203524070009_R10C02	0.995661	Female	B1-94
203524070009_R11C01	0.9950895	Female	B1-83
203524070009_R11C02	0.9956023	Female	B1-95
203524070009_R12C01	0.9940484	Female	B1-84
203524070009_R12C02	0.9952194	Female	B1-96
203550220004_R01C01	0.996016	Female	B2-841
203550220004_R01C02	0.9960425	Female	B2-853
203550220004_R02C01	0.9960202	Female	B2-842
203550220004_R02C02	0.9956512	Female	B2-854
203550220004_R03C01	0.9960467	Female	B2-843
203550220004_R03C02	0.9962228	Female	B2-855
203550220004_R04C01	0.9955199	Female	B2-844
203550220004_R04C02	0.99609	Female	B2-856
203550220004_R05C01	0.9960327	Female	B2-845
203550220004_R05C02	0.9960872	Female	B2-857
203550220004_R06C01	0.9961864	Female	B2-846
203550220004_R06C02	0.9960719	Female	B2-858
203550220004_R07C01	0.9960048	Female	B2-847
203550220004_R07C02	0.9960733	Female	B2-859
203550220004_R08C01	0.9957197	Female	B2-848
203550220004_R08C02	0.996002	Female	B2-860
203550220004_R09C01	0.9956554	Female	B2-849
203550220004_R09C02	0.9957127	Female	B2-861
203550220004_R10C01	0.9956065	Female	B2-850
203550220004_R10C02	0.9960215	Female	B2-862
203550220004_R11C01	0.9950448	Female	B2-851
203550220004_R11C02	0.9959503	Female	B2-863
203550220004_R12C01	0.9948295	Female	B2-852
203550220004_R12C02	0.9946213	Female	B2-864
203524070077_R01C01	0.9959349	Female	B1-361
203524070077_R01C02	0.9958203	Female	B1-373
203524070077_R02C02	0.996403	Female	B1-374
203524070077_R03C01	0.9962256	Female	B1-363
203524070077_R03C02	0.9964659	Female	B1-375
203524070077_R04C01	0.9947094	Female	B1-364
203524070077_R05C01	0.9959531	Female	B1-365
203524070077_R05C02	0.9963695	Female	B1-377
203524070077_R06C02	0.9964156	Female	B1-378
203524070077_R07C02	0.9960774	Female	B1-379
203524070077_R08C02	0.9957295	Female	B1-380
203524070077_R09C01	0.9951496	Female	B1-369
203524070077_R09C02	0.9960048	Female	B1-381
203524070077_R10C01	0.9958036	Female	B1-370
203524070077_R10C02	0.9931205	Female	B1-382
203524070077_R11C01	0.9955297	Female	B1-371
203524070077_R12C02	0.9948142	Female	B1-384
203561520023_R01C02	0.9955241	Female	B1-445
203561520023_R02C01	0.9955688	Female	B1-434
203561520023_R02C02	0.9954835	Female	B1-446
203561520023_R03C01	0.9959559	Female	B1-435
203561520023_R03C02	0.9956722	Female	B1-447
203561520023_R04C01	0.9954849	Female	B1-436
203561520023_R04C02	0.99558	Female	B1-448
203561520023_R05C01	0.9958036	Female	B1-437
203561520023_R05C02	0.9957085	Female	B1-449
203561520023_R06C01	0.9955702	Female	B1-438
203561520023_R07C01	0.995327	Female	B1-439
203561520023_R08C01	0.9954262	Female	B1-440
203561520023_R08C02	0.9953676	Female	B1-452
203561520023_R09C01	0.9948072	Female	B1-441
203561520023_R10C01	0.994462	Female	B1-442
203561520023_R11C02	0.993087	Female	B1-455
203561520023_R12C01	0.9883497	Female	B1-444
203561520023_R12C02	0.9855563	Female	B1-456
203561520044_R01C01	0.9960257	Female	B1-49
203561520044_R01C02	0.9963122	Female	B1-61
203561520044_R02C01	0.9955227	Female	B1-50
203561520044_R03C01	0.9957127	Female	B1-51
203561520044_R03C02	0.9959629	Female	B1-63
203561520044_R04C01	0.9957784	Female	B1-52
203561520044_R05C01	0.9961026	Female	B1-53
203561520044_R05C02	0.9958692	Female	B1-65
203561520044_R06C02	0.9956946	Female	B1-66
203561520044_R07C01	0.9956163	Female	B1-55
203561520044_R07C02	0.9954235	Female	B1-67
203561520044_R08C01	0.9956666	Female	B1-56
203561520044_R09C01	0.9951999	Female	B1-57
203561520044_R10C02	0.9951775	Female	B1-70
203561520044_R11C01	0.9946828	Female	B1-59
203561520044_R11C02	0.9952669	Female	B1-71
203561520044_R12C02	0.9947024	Female	B1-72
203524070069_R01C01	0.9953676	Female	B1-145
203524070069_R01C02	0.995988	Female	B1-157
203524070069_R03C01	0.9960453	Female	B1-147
203524070069_R03C02	0.9961711	Female	B1-159
203524070069_R04C01	0.9954416	Female	B1-148
203524070069_R04C02	0.9960383	Female	B1-160
203524070069_R05C01	0.995995	Female	B1-149
203524070069_R05C02	0.9962619	Female	B1-161
203524070069_R06C01	0.9951803	Female	B1-150
203524070069_R06C02	0.9961627	Female	B1-162
203524070069_R07C01	0.9938318	Female	B1-151
203524070069_R07C02	0.9958539	Female	B1-163
203524070069_R08C02	0.9957197	Female	B1-164
203524070069_R09C01	0.9932854	Female	B1-153
203524070069_R09C02	0.9944718	Female	B1-165
203524070069_R10C01	0.9950042	Female	B1-154
203524070069_R10C02	0.9954221	Female	B1-166
203524070069_R11C01	0.9949763	Female	B1-155
203524070069_R11C02	0.9956331	Female	B1-167
203524070069_R12C01	0.9893573	Female	B1-156
203524070069_R12C02	0.9918069	Female	B1-168
203941920141_R01C01	0.9963178	Female	B2-913
203941920141_R01C02	0.9939632	Female	B2-925
203941920141_R02C01	0.9954891	Female	B2-914
203941920141_R02C02	0.9960495	Female	B2-926
203941920141_R03C01	0.995763	Female	B2-915
203941920141_R03C02	0.9963052	Female	B2-927
203941920141_R04C01	0.9959447	Female	B2-916
203941920141_R04C02	0.9960006	Female	B2-928
203941920141_R05C01	0.9955101	Female	B2-917
203941920141_R05C02	0.9959181	Female	B2-929
203941920141_R06C01	0.9958581	Female	B2-918
203941920141_R06C02	0.9958622	Female	B2-930
203941920141_R07C01	0.9956694	Female	B2-919
203941920141_R07C02	0.9954472	Female	B2-931
203941920141_R08C01	0.9951216	Female	B2-920
203941920141_R08C02	0.995654	Female	B2-932
203941920141_R09C01	0.995151	Female	B2-921
203941920141_R09C02	0.9956317	Female	B2-933
203941920141_R10C01	0.99468	Female	B2-922
203941920141_R10C02	0.9953368	Female	B2-934
203941920141_R11C01	0.9941811	Female	B2-923
203941920141_R11C02	0.9954053	Female	B2-935
203941920141_R12C01	0.993087	Female	B2-924
203941920141_R12C02	0.9927488	Female	B2-936
203546040019_R01C01	0.9964645	Female	B1-169
203546040019_R01C02	0.9962605	Female	B1-181
203546040019_R02C01	0.9960942	Female	B1-170
203546040019_R02C02	0.9961445	Female	B1-182
203546040019_R03C01	0.9960285	Female	B1-171
203546040019_R04C01	0.9959321	Female	B1-172
203546040019_R05C01	0.9960188	Female	B1-173
203546040019_R06C01	0.9959363	Female	B1-174
203546040019_R07C02	0.9958469	Female	B1-187
203546040019_R08C01	0.9958357	Female	B1-176
203546040019_R08C02	0.9959	Female	B1-188
203546040019_R09C01	0.9955646	Female	B1-177
203546040019_R09C02	0.9956946	Female	B1-189
203546040019_R10C01	0.9956526	Female	B1-178
203546040019_R10C02	0.9956792	Female	B1-190
203546040019_R11C02	0.9953326	Female	B1-191
203546040019_R12C01	0.9945026	Female	B1-180
203546040019_R12C02	0.9936599	Female	B1-192
203550220123_R11C02	0.9948771	Female	B2-743
203550220123_R12C02	0.9918181	Female	B2-744
203561520088_R01C01	0.9950923	Female	B1-385
203561520088_R01C02	0.995151	Female	B1-397
203561520088_R02C01	0.9956652	Female	B1-386
203561520088_R02C02	0.9956415	Female	B1-398
203561520088_R03C01	0.9956834	Female	B1-387
203561520088_R03C02	0.9956596	Female	B1-399
203561520088_R04C01	0.9957477	Female	B1-388
203561520088_R04C02	0.9955967	Female	B1-400
203561520088_R05C01	0.99577	Female	B1-389
203561520088_R05C02	0.9959838	Female	B1-401
203561520088_R06C01	0.9956722	Female	B1-390
203561520088_R07C01	0.995552	Female	B1-391
203561520088_R07C02	0.9956708	Female	B1-403
203561520088_R08C01	0.9955003	Female	B1-392
203561520088_R09C01	0.9950168	Female	B1-393
203561520088_R09C02	0.9957071	Female	B1-405
203561520088_R10C02	0.9954151	Female	B1-406
203561520088_R11C01	0.992303	Female	B1-395
203524070078_R01C01	0.9948114	Female	B1-97
203524070078_R01C02	0.9951677	Female	B1-109
203524070078_R02C01	0.9958036	Female	B1-98
203524070078_R02C02	0.9943363	Female	B1-110
203524070078_R03C01	0.9960299	Female	B1-99
203524070078_R03C02	0.9961138	Female	B1-111
203524070078_R04C01	0.995872	Female	B1-100
203524070078_R04C02	0.9959475	Female	B1-112
203524070078_R05C01	0.9961194	Female	B1-101
203524070078_R05C02	0.9962954	Female	B1-113
203524070078_R06C01	0.9957644	Female	B1-102
203524070078_R06C02	0.9962242	Female	B1-114
203524070078_R07C02	0.9958105	Female	B1-115
203524070078_R08C01	0.9958371	Female	B1-104
203524070078_R08C02	0.9958315	Female	B1-116
203524070078_R09C01	0.9951118	Female	B1-105
203524070078_R09C02	0.9957435	Female	B1-117
203524070078_R10C01	0.9950909	Female	B1-106
203524070078_R10C02	0.9957798	Female	B1-118
203524070078_R11C01	0.9940414	Female	B1-107
203524070078_R11C02	0.9938094	Female	B1-119
203524070078_R12C01	0.993386	Female	B1-108
203524070078_R12C02	0.9935844	Female	B1-120
203550220028_R01C01	0.9966672	Female	B2-985
203550220028_R01C02	0.9964687	Female	B2-997
203550220028_R02C01	0.9964156	Female	B2-986
203550220028_R02C02	0.9964044	Female	B2-998
203550220028_R03C01	0.9965232	Female	B2-987
203550220028_R03C02	0.9965582	Female	B2-999
203550220028_R04C01	0.9962661	Female	B2-988
203550220028_R04C02	0.9964603	Female	B2-1000
203550220028_R05C01	0.9964058	Female	B2-989
203550220028_R05C02	0.9961403	Female	B2-1001
203550220028_R06C01	0.9961585	Female	B2-990
203550220028_R06C02	0.9961948	Female	B2-1002
203550220028_R07C01	0.9962563	Female	B2-991
203550220028_R07C02	0.9957281	Female	B2-1003
203550220028_R08C01	0.9960048	Female	B2-992
203550220028_R08C02	0.9958399	Female	B2-1004
203550220028_R09C01	0.9961934	Female	B2-993
203550220028_R09C02	0.9961208	Female	B2-1005
203550220028_R10C01	0.9960299	Female	B2-994
203550220028_R10C02	0.9959042	Female	B2-1006
203550220028_R11C01	0.9954542	Female	B2-995
203550220028_R11C02	0.9958203	Female	B2-1007
203550220028_R12C01	0.9929696	Female	B2-996
203550220028_R12C02	0.990369	Female	B2-1008
203546030132_R01C01	0.9962088	Female	B2-937
203546030132_R01C02	0.9963863	Female	B2-949
203546030132_R02C01	0.9959223	Female	B2-938
203546030132_R02C02	0.9961976	Female	B2-950
203546030132_R03C01	0.9960998	Female	B2-939
203546030132_R03C02	0.9960495	Female	B2-951
203546030132_R04C01	0.9959545	Female	B2-940
203546030132_R04C02	0.9963695	Female	B2-952
203546030132_R05C01	0.9959363	Female	B2-941
203546030132_R05C02	0.9961725	Female	B2-953
203546030132_R06C01	0.9958776	Female	B2-942
203546030132_R06C02	0.996016	Female	B2-954
203546030132_R07C01	0.9958469	Female	B2-943
203546030132_R07C02	0.996083	Female	B2-955
203546030132_R08C01	0.9957952	Female	B2-944
203546030132_R08C02	0.9961515	Female	B2-956
203546030132_R09C01	0.9956219	Female	B2-945
203546030132_R09C02	0.9961906	Female	B2-957
203546030132_R10C01	0.9956009	Female	B2-946
203546030132_R10C02	0.9961305	Female	B2-958
203546030132_R11C01	0.9956289	Female	B2-947
203546030132_R11C02	0.9959992	Female	B2-959
203546030132_R12C01	0.9953787	Female	B2-948
203546030132_R12C02	0.9958455	Female	B2-960
203561520092_R01C01	0.9958734	Female	B2-1057
203561520092_R02C01	0.9960649	Female	B2-1058
203561520092_R02C02	0.9957546	Female	G1-9
203561520092_R03C01	0.9959712	Female	B2-1059
203561520092_R04C01	0.992827	Female	B2-1060
203561520092_R04C02	0.9959391	Female	G1-11
203561520092_R05C02	0.9957491	Female	G1-12
203561520092_R06C02	0.9956205	Female	G1-13
203561520092_R07C01	0.9952879	Female	G1-2
203561520092_R07C02	0.9953145	Female	G1-14
203561520092_R08C01	0.9953522	Female	G1-3
203561520092_R08C02	0.9953494	Female	G1-15
203561520092_R09C01	0.9949022	Female	G1-4
203561520092_R09C02	0.9952935	Female	G2-1
203561520092_R10C01	0.9944453	Female	G1-5
203561520092_R10C02	0.9947653	Female	G2-2
203561520092_R11C01	0.9940889	Female	G1-6
203561520092_R11C02	0.9945389	Female	G2-3
203561520092_R12C01	0.9923072	Female	G1-7
203561520092_R12C02	0.99449	Female	G2-4
203546030168_R01C01	0.9947233	Female	B2-889
203546030168_R01C02	0.9953871	Female	B2-901
203546030168_R02C01	0.995552	Female	B2-890
203546030168_R02C02	0.9960733	Female	B2-902
203546030168_R03C01	0.9957323	Female	B2-891
203546030168_R03C02	0.9961892	Female	B2-903
203546030168_R04C01	0.9956736	Female	B2-892
203546030168_R04C02	0.9960453	Female	B2-904
203546030168_R05C01	0.9955967	Female	B2-893
203546030168_R05C02	0.9956987	Female	B2-905
203546030168_R06C01	0.9954486	Female	B2-894
203546030168_R06C02	0.9956219	Female	B2-906
203546030168_R07C01	0.9953089	Female	B2-895
203546030168_R07C02	0.9953494	Female	B2-907
203546030168_R08C01	0.9952264	Female	B2-896
203546030168_R08C02	0.9957225	Female	B2-908
203546030168_R09C01	0.9954654	Female	B2-897
203546030168_R09C02	0.9956666	Female	B2-909
203546030168_R10C01	0.9949176	Female	B2-898
203546030168_R10C02	0.9950993	Female	B2-910
203546030168_R11C01	0.9944271	Female	B2-899
203546030168_R11C02	0.9952865	Female	B2-911
203546030168_R12C01	0.9906149	Female	B2-900
203546030168_R12C02	0.9879473	Female	B2-912
203561520030_R01C02	0.9960062	Female	B1-37
203561520030_R03C02	0.9960914	Female	B1-39
203561520030_R04C01	0.9958301	Female	B1-28
203561520030_R05C02	0.9959796	Female	B1-41
203561520030_R08C01	0.995784	Female	B1-32
203561520030_R08C02	0.9958888	Female	B1-44
203561520030_R09C01	0.9959545	Female	B1-33
203561520030_R09C02	0.9958315	Female	B1-45
203561520030_R10C01	0.9952725	Female	B1-34
203561520030_R10C02	0.9955842	Female	B1-46
203561520030_R11C02	0.995879	Female	B1-47
203561520030_R12C02	0.9958036	Female	B1-48
203561520124_R01C01	0.9966462	Female	B2-793
203561520124_R01C02	0.9961333	Female	B2-805
203561520124_R02C01	0.9961571	Female	B2-794
203561520124_R02C02	0.9954486	Female	B2-806
203561520124_R03C01	0.9957337	Female	B2-795
203561520124_R03C02	0.995246	Female	B2-807
203561520124_R04C01	0.9961571	Female	B2-796
203561520124_R04C02	0.9955967	Female	B2-808
203561520124_R05C01	0.9955548	Female	B2-797
203561520124_R05C02	0.9951845	Female	B2-809
203561520124_R06C01	0.9953759	Female	B2-798
203561520124_R06C02	0.9912046	Female	B2-810
203561520124_R07C01	0.9957658	Female	B2-799
203561520124_R07C02	0.9943432	Female	B2-811
203561520124_R08C01	0.9947541	Female	B2-800
203561520124_R08C02	0.9945473	Female	B2-812
203561520124_R09C01	0.9949665	Female	B2-801
203561520124_R09C02	0.994469	Female	B2-813
203561520124_R10C01	0.9952152	Female	B2-802
203561520124_R10C02	0.9959587	Female	B2-814
203561520124_R11C01	0.9947653	Female	B2-803
203561520124_R11C02	0.9924707	Female	B2-815
203561520124_R12C01	0.9927083	Female	B2-804
203561520124_R12C02	0.9944327	Female	B2-816
203561520133_R01C01	0.9965917	Female	B1-265
203561520133_R01C02	0.9960816	Female	B1-277
203561520133_R02C01	0.9958036	Female	B1-266
203561520133_R03C01	0.9952362	Female	B1-267
203561520133_R03C02	0.9955143	Female	B1-279
203561520133_R04C01	0.9956792	Female	B1-268
203561520133_R04C02	0.9954514	Female	B1-280
203561520133_R05C02	0.9939128	Female	B1-281
203561520133_R06C01	0.9949218	Female	B1-270
203561520133_R06C02	0.9948757	Female	B1-282
203561520133_R07C01	0.9956722	Female	B1-271
203561520133_R07C02	0.9959279	Female	B1-283
203561520133_R08C01	0.9957099	Female	B1-272
203561520133_R08C02	0.9952711	Female	B1-284
203561520133_R09C01	0.9953704	Female	B1-273
203561520133_R09C02	0.9942943	Female	B1-285
203561520133_R10C01	0.9956973	Female	B1-274
203561520133_R10C02	0.9943726	Female	B1-286
203561520133_R11C01	0.9946535	Female	B1-275
203561520133_R11C02	0.9939128	Female	B1-287
203561520133_R12C01	0.9939087	Female	B1-276
203550220112_R01C01	0.9957085	Female	B2-769
203550220112_R01C02	0.9961613	Female	B2-781
203550220112_R02C01	0.9957267	Female	B2-770
203550220112_R02C02	0.9958497	Female	B2-782
203550220112_R03C01	0.9957644	Female	B2-771
203550220112_R03C02	0.996083	Female	B2-783
203550220112_R04C01	0.9957532	Female	B2-772
203550220112_R04C02	0.9929039	Female	B2-784
203550220112_R05C01	0.9958385	Female	B2-773
203550220112_R05C02	0.9956596	Female	B2-785
203550220112_R06C01	0.9958189	Female	B2-774
203550220112_R06C02	0.9958273	Female	B2-786
203550220112_R07C01	0.9956093	Female	B2-775
203550220112_R07C02	0.9956694	Female	B2-787
203550220112_R08C01	0.9956918	Female	B2-776
203550220112_R08C02	0.9955814	Female	B2-788
203550220112_R09C01	0.9959307	Female	B2-777
203550220112_R09C02	0.9959838	Female	B2-789
203550220112_R10C01	0.9958776	Female	B2-778
203550220112_R10C02	0.9961068	Female	B2-790
203550220112_R11C01	0.9958133	Female	B2-779
203550220112_R11C02	0.9958972	Female	B2-791
203550220112_R12C01	0.9936292	Female	B2-780
203550220112_R12C02	0.9940163	Female	B2-792
203561530028_R07C02	0.9946297	Female	B2-643
203524070142_R02C02	0.9961096	Female	B1-14
203524070142_R04C02	0.996076	Female	B1-16
203524070142_R05C01	0.9959684	Female	B1-5
203524070142_R05C02	0.9959098	Female	B1-17
203524070142_R07C02	0.996009	Female	B1-19
203524070142_R11C01	0.9954807	Female	B1-11
203524070082_R01C01	0.995436	Female	B2-1009
203524070082_R01C02	0.9938528	Female	B2-1021
203524070082_R02C01	0.9961739	Female	B2-1010
203524070082_R02C02	0.9959084	Female	B2-1022
203524070082_R03C01	0.9964198	Female	B2-1011
203524070082_R03C02	0.9960984	Female	B2-1023
203524070082_R04C01	0.9961333	Female	B2-1012
203524070082_R04C02	0.9960649	Female	B2-1024
203524070082_R05C01	0.9960858	Female	B2-1013
203524070082_R05C02	0.9960593	Female	B2-1025
203524070082_R06C01	0.9957756	Female	B2-1014
203524070082_R06C02	0.9960215	Female	B2-1026
203524070082_R07C01	0.9959712	Female	B2-1015
203524070082_R07C02	0.9958119	Female	B2-1027
203524070082_R08C01	0.9956764	Female	B2-1016
203524070082_R08C02	0.9956107	Female	B2-1028
203524070082_R09C01	0.9951635	Female	B2-1017
203524070082_R09C02	0.9952697	Female	B2-1029
203524070082_R10C01	0.9949064	Female	B2-1018
203524070082_R10C02	0.9952404	Female	B2-1030
203524070082_R11C01	0.9943432	Female	B2-1019
203524070082_R11C02	0.9949106	Female	B2-1031
203524070082_R12C01	0.9922373	Female	B2-1020
203524070082_R12C02	0.9940442	Female	B2-1032
203546030024_R01C01	0.996438	Female	B1-217
203546030024_R01C02	0.9965344	Female	B1-229
203546030024_R02C02	0.9964142	Female	B1-230
203546030024_R03C02	0.9959363	Female	B1-231
203546030024_R04C01	0.9962954	Female	B1-220
203546030024_R04C02	0.9962395	Female	B1-232
203546030024_R05C01	0.996308	Female	B1-221
203546030024_R05C02	0.9961711	Female	B1-233
203546030024_R06C01	0.9961291	Female	B1-222
203546030024_R06C02	0.9961934	Female	B1-234
203546030024_R07C01	0.9962661	Female	B1-223
203546030024_R07C02	0.9958706	Female	B1-235
203546030024_R08C01	0.9961529	Female	B1-224
203546030024_R08C02	0.9960495	Female	B1-236
203546030024_R09C01	0.9959531	Female	B1-225
203546030024_R09C02	0.9959223	Female	B1-237
203546030024_R10C01	0.9959	Female	B1-226
203546030024_R10C02	0.9958804	Female	B1-238
203546030024_R11C01	0.9961068	Female	B1-227
203546030024_R11C02	0.9959461	Female	B1-239
203546030024_R12C01	0.9878466	Female	B1-228
203546030024_R12C02	0.9928284	Female	B1-240
203550220038_R01C01	0.9958539	Female	B2-745
203550220038_R01C02	0.9958525	Female	B2-757
203550220038_R02C01	0.995798	Female	B2-746
203550220038_R02C02	0.9955213	Female	B2-758
203550220038_R03C01	0.9956456	Female	B2-747
203550220038_R03C02	0.9958734	Female	B2-759
203550220038_R04C01	0.9954877	Female	B2-748
203550220038_R04C02	0.9957518	Female	B2-760
203550220038_R05C02	0.9957588	Female	B2-761
203550220038_R06C02	0.9955897	Female	B2-762
203550220038_R07C02	0.9954793	Female	B2-763
203550220038_R08C01	0.9952977	Female	B2-752
203550220038_R08C02	0.9955017	Female	B2-764
203550220038_R09C01	0.9954095	Female	B2-753
203550220038_R09C02	0.9953983	Female	B2-765
203550220038_R10C01	0.9953284	Female	B2-754
203550220038_R10C02	0.9955003	Female	B2-766
203550220038_R11C01	0.9945836	Female	B2-755
203550220038_R11C02	0.9949022	Female	B2-767
203550220038_R12C01	0.9933776	Female	B2-756
203550220038_R12C02	0.9933986	Female	B2-768
203561530017_R01C01	0.996192	Female	B1-457
203561530017_R01C02	0.9959782	Female	B1-469
203561530017_R02C01	0.9959405	Female	B1-458
203561530017_R03C01	0.9960649	Female	B1-459
203561530017_R03C02	0.9959643	Female	B1-471
203561530017_R04C01	0.9958287	Female	B1-460
203561530017_R05C01	0.9957812	Female	B1-461
203561530017_R06C01	0.9956359	Female	B1-462
203561530017_R07C02	0.9956401	Female	B1-475
203561530017_R08C01	0.9952516	Female	B1-464
203561530017_R08C02	0.9950951	Female	E3-1
203561530017_R09C01	0.9948603	Female	B1-465
203561530017_R09C02	0.9947303	Female	B1-477
203561530017_R10C01	0.9954332	Female	B1-466
203561530017_R10C02	0.995566	Female	B1-478
203561530017_R11C01	0.9911683	Female	B1-467
203561530017_R12C01	0.9936138	Female	B1-468
203561530017_R12C02	0.9925965	Female	B1-480
203561520006_R02C01	0.9948799	Female	B1-506
203561520006_R03C01	0.995457	Female	B1-507
203561520006_R04C01	0.995021	Female	B1-508
203561520006_R05C01	0.9950322	Female	B1-509
203561520006_R07C01	0.9942538	Female	B1-511
203550220122_R01C01	0.9954151	Female	B2-865
203550220122_R01C02	0.9957281	Female	B2-877
203550220122_R02C01	0.9954961	Female	B2-866
203550220122_R02C02	0.9956261	Female	B2-878
203550220122_R03C01	0.9959363	Female	B2-867
203550220122_R03C02	0.9955758	Female	B2-879
203550220122_R04C01	0.9955129	Female	B2-868
203550220122_R04C02	0.9955115	Female	B2-880
203550220122_R05C01	0.9955408	Female	B2-869
203550220122_R05C02	0.9957644	Female	B2-881
203550220122_R06C01	0.9957826	Female	B2-870
203550220122_R06C02	0.9955017	Female	B2-882
203550220122_R07C01	0.9953592	Female	B2-871
203550220122_R07C02	0.9955073	Female	B2-883
203550220122_R08C01	0.994803	Female	B2-872
