Sample ID	Call Rate	Gender	Sample Name
203524070162_R01C01	0.9960146	Female	B1-121
203524070162_R01C02	0.9959545	Female	B1-133
203524070162_R02C01	0.9958413	Female	B1-122
203524070162_R03C01	0.9958469	Female	B1-123
203524070162_R03C02	0.9962605	Female	B1-135
203524070162_R04C01	0.995538	Female	B1-124
203524070162_R04C02	0.9957477	Female	B1-136
203524070162_R05C01	0.9955213	Female	B1-125
203524070162_R05C02	0.9954402	Female	B1-137
203524070162_R06C01	0.9956484	Female	B1-126
203524070162_R06C02	0.9946255	Female	B1-138
203524070162_R08C01	0.9950503	Female	B1-128
203524070162_R09C01	0.9948715	Female	B1-129
203524070162_R09C02	0.9950168	Female	B1-141
203524070162_R10C01	0.9951328	Female	B1-130
203524070162_R11C02	0.9946549	Female	B1-143
203524070162_R12C01	0.9919718	Female	B1-132
203524070162_R12C02	0.9917287	Female	B1-144
203561520010_R01C01	0.9960802	Female	B2-961
203561520010_R01C02	0.9957658	Female	B2-973
203561520010_R02C01	0.9955646	Female	B2-962
203561520010_R02C02	0.9958231	Female	B2-974
203561520010_R03C01	0.9959098	Female	B2-963
203561520010_R03C02	0.9957938	Female	B2-975
203561520010_R04C01	0.9954081	Female	B2-964
203561520010_R04C02	0.9955506	Female	B2-976
203561520010_R05C01	0.9955087	Female	B2-965
203561520010_R05C02	0.9957826	Female	B2-977
203561520010_R06C01	0.9954137	Female	B2-966
203561520010_R06C02	0.9956484	Female	B2-978
203561520010_R07C01	0.994926	Female	B2-967
203561520010_R07C02	0.9951593	Female	B2-979
203561520010_R08C01	0.9952334	Female	B2-968
203561520010_R08C02	0.9955017	Female	B2-980
203561520010_R09C01	0.9955352	Female	B2-969
203561520010_R09C02	0.9958259	Female	B2-981
203561520010_R10C01	0.995042	Female	B2-970
203561520010_R10C02	0.9947122	Female	B2-982
203561520010_R11C01	0.9950336	Female	B2-971
203561520010_R11C02	0.9955422	Female	B2-983
203561520010_R12C01	0.9939618	Female	B2-972
203546040086_R01C02	0.9963206	Female	B1-253
203546040086_R02C01	0.9958259	Female	B1-242
